id_criptografado,nome_subar
3b52a82935775fce99fb20df180106a1552722c14c13da8104bee70386762372,Rodoviária - Terminal Gentileza - Estação Leopoldina
300390c61703b5a6615db991246851bd34883f16740d851811cf223eaef946c7,Jardim de Alah
388ea6b2c363a149e42f4906ccd13ac8d07801b32d09ee1c3420b3e6aee463c4,Rodoviária - Terminal Gentileza - Estação Leopoldina
65e32973e0eb08bfb3ed910a0918602ae8e2175fd6f9232b459faf9a6b3a0cc1,Rio Sul
f0cb04ef62b6147c8139302e302581a90dc4f4c91445b2fb75810523a119ef16,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
a66ab1b68a3753c3270533cbf6d947f56695bb6084ee88c0b9d5b9dbb50dfd3c,Estações São Francisco Xavier - Afonso Pena
ba47aee186ec8929272e4503385883ecc3d86c4634f5ccd102201bc9f363a6b6,Jardim de Alah
1d3c7c06a10d62ad30b6be7485066b2d46af0e832c07e401db662761796ed639,Jardim de Alah
5c7925ebe2f43eb971d4c9f9fe34b42fc4d9c849a9f6836faa6040c3975a6998,Rodoviária - Terminal Gentileza - Estação Leopoldina
9c5d6dc760fda23ff9d7c6e510cba67b2cb2e412961743a84c1299cb44b4604c,Rodoviária - Terminal Gentileza - Estação Leopoldina
fc1ab1666685d254b52d89403faa97fd9259fefea2161eaa5b0053ef95f57727,Jardim de Alah
50fd11946aa3a823c8361faec998578e03abe1c41e959f326d10ca780d386cd9,Rodoviária - Terminal Gentileza - Estação Leopoldina
e2d34f74bde95d8421b510e811a7bcdc8d757538551c90ffac24b1e29f6225a7,Rodoviária - Terminal Gentileza - Estação Leopoldina
f37fb1d3926b2f4a8aae719b95152a70a202c3c73786f2755de58ce88c973ec1,Praia de Botafogo - Rua Marquês de Abrantes
8ef23d79109b108ebd87d595e4ad3f0d47d7baac3a1602d3ddc71704d05ff2a7,Praia de Botafogo - Rua Marquês de Abrantes
94e6bca7af890c86a7c1b391ccd6f356ebb9c3beacff21b7e61fff8b21f8ad82,Rio Sul
632c8d20db408ed024d91f4ec3e3f36242efbf6b8cac3067440c1e68d5a86288,Estações São Francisco Xavier - Afonso Pena
18ea3bad97972688880a92d2eaeac208c13d66e477e3130e79214bfd6c0a1784,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
ee0fe782f89d947714de5df5c5341f5255ae3304c55e017a8a32b688ff303582,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
359ff8100e5280a76fee1af2074c086663973449505c10876e98278d2b445317,Campo Grande: Estação de Trem - Calçadão
